1.あいてる。 你有空吗？
2.あきちゃった。 腻了！
3.あけましておめでとう。 新年快乐！
4.あげる。 送给你。
5.あせらないで。 别着急！
6.あたった。 打中了。
7.あたりまえのことだ。 应该做的。
8.あっ。 啊！
9.あった。 有了！
10.あつかましい。 厚脸皮！
11.あとでまたお電話(でんわ)します。 待会再打给您电话。
12.あなたと関係(かんけい)ない。 跟你没关系。
13.あなたに関係(かんけい)あるの。 跟你有关吗？
14.あなたね。 你啊，真是的！
15.あなたもね。 你也是的！
16.あのう。 那个……
17.あほう。 二百五！
18.あほくさい。 傻冒儿！
19.あまり突然(とつぜん)のことでびっくりしちゃった。 太突然了，让人大吃一惊！
20.あやしいやつだな。 这家伙真怪！
21.あら。 天哪！
22.ありがとう。 谢谢！
23.ありそうな事(こと)だね。 这是常有的事。
24.あるよ。 有啊！
25.あれ。 咦？
26.あんのじょうだ。 不出所料！
27.いいにおい。 好香啊！
28.いいえけっこうです。 不用了！
29.いいがいがない。 说也白说！
30.いいがたいね。 很难说啊！
31.いいかげんにしろ。 算了吧！
32.よいご旅行(りょこう)を。 祝你旅行愉快！
33.いいじゃないか。 不好吗？
34.いいわけばかりだね。 尽是些借口！
35.いいわけだけだ。 那只是借口。
36.いいのか。 可以吗？

37.いいな。 真好啊！
38.いい機会(きかい)だ。 大好时机！
39.いい天気(てんき)だね。 天气真好啊！
40.意見(いけん)はない。 我没意见！

41.いくじなし。 真没志气！

42.いけない。 不行！

43.いそいでるところだ。 我赶时间！

44.いた。 好痛！

45.いったいどういうこと。 到底怎么回事？
46.いっしょに行(い)こう。 一起去吧！
47.いってらっしゃい。 你走好！（居家时对出门的人说）

48.いってきます。 我走了！（出门时对居家用的人说）

49.いつはじまるの。 什么时候开始呢？
50.いつでも立(た)ち寄(よ)ってください。 请常来家里坐坐。
51.いつ。 什么时候？

52.	いつのこと。 什么时候的事？

53.いつまで。 到什么时候结束？
54.いつまでもお幸(しあわ)せにね。 祝你们永远幸福！
55.いつもお世話(せわ)になっています。 一直承蒙您关照。
56．いまいましい。 真可气！
57.いま何時(なんじ)。 现在几点了？
58.いやけっこうだよ。 不用了。
59.いや。 不！
60.いやだ。 讨厌！
61.いやしいやつだ。 讨厌的家伙！
62.いやらしいな。 真恶心！
63.いらっしゃい。 欢迎。
64.いらっしゃいませ。 欢迎光临！
65.いらない。 用不着！
66.いらないお世話(せわ)だ。 多此一举！
67.うそ。 胡说！
68.うそつき。 你撒谎！
69.うちこんでいる。 很郁闷。
70.うちまで送(おく)る。 我送你回家。
71.うまいね。 好啊！
72.うまくいっている。 进展顺利。
73.うらやましい。 好羡慕啊！
74.うるさい。 烦人！
75.うれしいな。 好高兴啊！
76.うれしくてならない。 高兴得不得了！
77.うわさをすれば、影(かげ)がさす。 说曹操，曹操到！
78.ええ。 嗯！
79.えっ。 是吗？
80.おあいにく様(さま)。 不凑巧，真对不起。
81.おい。 喂！
82.おいくら？ 多少钱？
83.おいしそう。 看上去很可口嘛！
84.おかえり。 你回来了！
85.あなたのせいだ。 都怪你！
86.おかげさまでうまくいきました。 托您的福，一切很顺利！
87.おかしい。 真可笑！
88.おかまいなく。 您别麻烦了！
89.おこらないで。 别生气！
90.おごるよ。 我请客啦！
91.おさきにどうぞ。 你先来！
92.おしまいだ。 完了！
93.おじゃまします。 打扰了！
94.おっしゃるとおりです。 正是您说的那样！
95.おどろかさないで。 别吓唬人！
96.おねがい。 拜托了！
97.おねがいします。 麻烦您了！
98.おはよう。 早上好！
99.おひさしぶりです。 久违了！
100.おぼえてる。 还记得吗？
101.おまたせ。 让你久等了！
102.おまちどおさまでした。 让您久等了！

103.	おめでとう。 恭喜啊！

104.	おもしろいね。 真有趣！

105.	おやすいご用(よう)だ。 小CASE啦！（小意思啦！）

106.	おやすみ。 晚安！

107.おわびします。 我向您道歉！
108.お会計(かいけい)お願(ねが)いします。 买单吧！
109.お会(あ)いできてうれしいです。 能见到您，非常高兴！
110.お願(ねが)いだから。 求你了！
111.お休(やす)みください。 你休息吧！
112.お急(いそ)ぎですか。 您着急吗？
113.お供(とも)しましょう。 我陪您去吧！
114.お金持(かねも)ってるの。 带钱了吗？
115.悪(わる)くないだろう。 感觉还不错吧？
116.お口(くち)に合(あ)いますか。 合您口味吗？
117.お手数(てすう)をおかけしました。 真是麻烦您了。
118.いろいろ迷惑(めいわく)を掛(か)けました。 给您添了很多麻烦。
119.お住(す)まいはどちらですか。 您住在哪儿？
120.お先(さき)に失礼(しつれい)します。 我先失陪了。
121.お粗末(そまつ)さまでした。 没能好好招待您。
122.お体(からだ)に気(き)をつけてください。 请保重身体！
123.お待(ま)ちください。 请等一下。
124.お待(ま)たせして申(もう)し訳(わけ)ありません。 对不起让您久等了。
125.お待(ま)ちしております。 恭候大驾！
126.お大事(だいじ)に。 保重！
127.お元気(げんき)で。 保重！
128.お宅(たく)のみなさまはいかがですか。 您家里的人都好吗？
129.お達者(たっしゃ)ですか。 您身体好吗？
130.お茶(ちゃ)でも飲(の)んでください。 请喝杯茶吧。
131.お茶(ちゃ)をどうぞ。 请用茶。
